수집시각,기준시각,코드,지역명,혼잡도,인구min,인구max,위도,경도
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI083,DDP(동대문디자인플라자),여유,1500,2000,37.566542,127.009931
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI084,DMC(디지털미디어시티),여유,14000,16000,37.577407,126.893669
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI085,강서한강공원,여유,100,200,37.585871,126.820025
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI086,고척돔,여유,700,800,37.497768,126.867133
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI087,광나루한강공원,여유,2500,3000,37.550866,127.123706
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI088,광화문광장,여유,1000,1500,37.575051,126.976807
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI089,국립중앙박물관·용산가족공원,여유,1000,1500,37.522021,126.982468
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI090,난지한강공원,여유,1000,1500,37.566317,126.8777
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI091,남산공원,여유,5500,6000,37.555071,126.99365
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI092,노들섬,여유,100,200,37.517557,126.958714
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI093,뚝섬한강공원,여유,2000,2500,37.528825,127.074607
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI094,망원한강공원,여유,1000,1500,37.554801,126.898237
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI095,반포한강공원,여유,1000,1500,37.510655,126.994575
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI096,북서울꿈의숲,여유,4500,5000,37.622735,127.040909
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI098,서리풀공원·몽마르뜨공원,여유,2000,2500,37.490221,127.001737
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI100,서울대공원,여유,600,700,37.428396,127.018638
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI101,서울숲공원,여유,2500,3000,37.544027,127.036731
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI102,아차산,여유,3500,4000,37.56307,127.100479
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI103,양화한강공원,여유,500,600,37.540297,126.899636
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI104,어린이대공원,여유,2500,3000,37.549571,127.082431
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI105,여의도한강공원,여유,1000,1500,37.528689,126.926276
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI106,월드컵공원,여유,4500,5000,37.566039,126.887402
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI107,응봉산,여유,2000,2500,37.547974,127.029046
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI108,이촌한강공원,여유,2000,2500,37.52139,126.963566
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI109,잠실종합운동장,여유,1000,1500,37.516107,127.072303
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI110,잠실한강공원,여유,1500,2000,37.519812,127.085074
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI111,잠원한강공원,여유,1000,1500,37.523362,127.013971
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI112,청계산,여유,1000,1500,37.443365,127.04697
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI114,북창동 먹자골목,여유,1500,2000,37.561816,126.977478
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI115,남대문시장,여유,2000,2500,37.559671,126.978544
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI116,익선동,여유,2500,3000,37.573693,126.988677
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI117,신정네거리역,여유,900,1000,37.520618,126.854038
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI118,잠실새내역,여유,6000,6500,37.510826,127.084129
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI119,잠실역,여유,3000,3500,37.511744,127.099093
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI120,잠실롯데타워·석촌호수,여유,12000,14000,37.51232,127.103657
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI121,송리단길·호수단길,여유,4000,4500,37.50767,127.103627
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI122,신촌 스타광장,여유,1500,2000,37.556455,126.936987
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI123,보라매공원,여유,2000,2500,37.493148,126.919275
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI124,서대문독립공원,여유,700,800,37.573446,126.956973
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI125,안양천,여유,1000,1500,37.519344,126.879273
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI126,여의서로,여유,400,500,37.531915,126.913813
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI127,올림픽공원,여유,4500,5000,37.521881,127.123681
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI128,홍제폭포,여유,400,500,37.580581,126.936894
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI129,송현녹지광장,여유,1000,1500,37.578156,126.98375
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI130,시의회 앞,여유,1000,1500,37.567725,126.976707
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI131,숭례문,여유,1500,2000,37.560277,126.975737
